model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=40_bs=256_lr=0$3290560333333664_factors=64_l_w=0$0037537727065767718_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0065218633173109546	0.0022221560294954793	0.006252895931795014	0.0019182652210175143	0.012111903769013862	0.0031568007414914147	0.01897414512093411
NGCF_seed=42_e=60_bs=256_lr=0$007482610559304657_factors=64_l_w=0$13249638164946598_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0117870786595403	0.004003360935700385	0.012990984550617578	0.0021476230191826524	0.01429679635997401	0.0035488226579549996	0.021476230191826522
NGCF_seed=42_e=60_bs=256_lr=0$0078003438689512195_factors=64_l_w=0$00018106053676395114_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00792783364647961	0.002276690562241021	0.006388756503435403	0.002585487906588824	0.017158204076990567	0.004255844415074759	0.025646371976647205
NGCF_seed=42_e=50_bs=256_lr=0$021445240072982794_factors=64_l_w=0$48438688284485465_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.002661389539673153	0.000715857791545865	0.0023642387174497266	0.0009174311926605505	0.005927641420760687	0.0015001578937792555	0.009174311926605505
NGCF_seed=42_e=50_bs=256_lr=0$3419638168607289_factors=64_l_w=0$003951698042046725_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.007828677103817447	0.0026016885764592185	0.0069691839760647085	0.0023561301084236864	0.015326388061479805	0.003906083314168483	0.023144286905754794
NGCF_seed=42_e=40_bs=256_lr=0$5688024823330164_factors=64_l_w=0$26389399315407347_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.003431667256927012	0.0011970540926962946	0.0033402504732779966	0.0009799833194328608	0.006054896937924461	0.0015966005626507024	0.009799833194328608
NGCF_seed=42_e=40_bs=256_lr=0$0027999398557182176_factors=64_l_w=0$023139163683284582_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.010199429880019348	0.0033376524087533267	0.0095679931689106	0.0034195162635529603	0.020402046348147265	0.005592676939080805	0.03377814845704754
NGCF_seed=42_e=40_bs=256_lr=0$011214453356547594_factors=64_l_w=9$070604289915239e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.009262529555793445	0.002863646292545375	0.008051766021949508	0.0026480400333611345	0.017991205694500106	0.004406472908071893	0.02627189324437031
NGCF_seed=42_e=40_bs=256_lr=0$29509799787092444_factors=64_l_w=5$113373962782565e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.005823539160635381	0.001882653534029681	0.00552676171942227	0.0015429524603836533	0.01018594364351245	0.0025423725415753087	0.015221017514595496
NGCF_seed=42_e=50_bs=256_lr=0$004513854002980276_factors=64_l_w=3$095583238847349e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.011374146052875192	0.003665281583859565	0.011616161616161616	0.0023352793994995827	0.016108192525120843	0.003907235314438686	0.023144286905754794
NGCF_seed=42_e=60_bs=256_lr=0$005373078553467844_factors=64_l_w=0$02459912440336327_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.01026867423174998	0.003674151409243153	0.010695420787163906	0.0026063386155129272	0.01642571993385171	0.004257297396323069	0.02585487906588824
NGCF_seed=42_e=50_bs=256_lr=0$2342944948560787_factors=64_l_w=0$011548375541642081_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.010965978205233639	0.0037654808239670633	0.010605067715159459	0.0027731442869057548	0.018622785853290438	0.004616498081333974	0.027731442869057547
NGCF_seed=42_e=60_bs=256_lr=2$5775992715704426e-05_factors=64_l_w=3$788372646828655e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0025430945138297514	0.0008445116300620887	0.002618749751777275	0.0006255212677231026	0.003998371658922118	0.0010412210195730777	0.006255212677231026
NGCF_seed=42_e=50_bs=256_lr=0$0006287655538806554_factors=64_l_w=0$003014920884674738_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.016979498057560515	0.0052245422772945705	0.016467592040986537	0.0040450375312760635	0.02751200125053336	0.0067887622628220335	0.0402418682235196
NGCF_seed=42_e=60_bs=256_lr=0$0009092321607308687_factors=64_l_w=0$00226703073596937_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.01602624191484333	0.005289105008141706	0.01597561459946781	0.0036905754795663057	0.02459506599414856	0.006131178591862417	0.036488740617180986
NGCF_seed=42_e=50_bs=256_lr=9$038895485401709e-05_factors=64_l_w=0$0025092161691761747_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.003499305992247326	0.001088531117200842	0.0032550273375961444	0.0008340283569641367	0.00577825271059216	0.0013895039489284695	0.008340283569641367
NGCF_seed=42_e=40_bs=256_lr=0$0019457801367435033_factors=64_l_w=0$212642159070902_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.011323459301872408	0.003819030739902299	0.01183774176893443	0.00231442869057548	0.015748614917192903	0.003883612966427076	0.023144286905754794
