model	nDCG	MAP	MRR	Precision	Recall	F1	HR
NGCF_seed=42_e=30_bs=256_lr=0$00022731042884444736_factors=64_l_w=0$04846843098344857_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.011399770624813652	0.007072336341944186	0.020409015458035067	0.005555555555555556	0.014477383546010997	0.007811382702568279	0.0542483660130719
NGCF_seed=42_e=30_bs=256_lr=0$0007033183008008172_factors=64_l_w=0$0147353045926332_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.026123039311397936	0.015197893972403776	0.04303454715219421	0.013267973856209153	0.03514550990041186	0.018707073562159223	0.12418300653594772
NGCF_seed=42_e=30_bs=256_lr=0$00028739060899824625_factors=64_l_w=0$03826709519641326_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.013228833946641035	0.008428986409378567	0.024201940035273366	0.007254901960784314	0.01696182902065255	0.009841262595638004	0.07058823529411765
NGCF_seed=42_e=30_bs=256_lr=0$0008456760072502752_factors=64_l_w=0$033442468825162476_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.026560663906465488	0.01483948023653906	0.04274068886813985	0.013594771241830067	0.03713892679578954	0.019447661337743657	0.12679738562091503
NGCF_seed=42_e=30_bs=256_lr=0$00017713071167434847_factors=64_l_w=0$016892043223837833_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.010862917344570113	0.006822154787841062	0.019886139641041602	0.005294117647058823	0.01342696337794377	0.007394788211579323	0.05163398692810457
NGCF_seed=42_e=30_bs=256_lr=0$00016175531087192323_factors=64_l_w=0$03622597811858389_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.01032559703612767	0.006428104575163399	0.018664021164021164	0.00522875816993464	0.013117762774625516	0.007258656464194381	0.050980392156862744
NGCF_seed=42_e=30_bs=256_lr=0$000349559218636046_factors=64_l_w=0$04837375709892162_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.01580526484571779	0.009517092021993983	0.0278874883286648	0.008888888888888889	0.02123038544607172	0.012140124913187025	0.08562091503267974
NGCF_seed=42_e=30_bs=256_lr=0$00021788689901745207_factors=64_l_w=0$0366827856133915_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.01150580554534387	0.007022019919078743	0.020439620292561467	0.005686274509803922	0.014749714700695091	0.007986452730579484	0.05555555555555555
NGCF_seed=42_e=30_bs=256_lr=0$00030736382048641547_factors=64_l_w=0$016321833763720442_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.014445705033976495	0.009161064425770308	0.02646410416018259	0.007908496732026146	0.01859218486669467	0.01076266804490723	0.07712418300653595
NGCF_seed=42_e=30_bs=256_lr=0$00013622088178599177_factors=64_l_w=0$035886800335855465_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.009526917989023404	0.00583042846768337	0.016638396099180414	0.004967320261437909	0.012932577589440332	0.0069973745362457845	0.04967320261437908
NGCF_seed=42_e=30_bs=256_lr=0$00031473583233992985_factors=64_l_w=0$045956206714262655_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.014943299688905143	0.009362226372030293	0.027294584500466852	0.00823529411764706	0.019252483174051798	0.011181493323067546	0.07973856209150326
NGCF_seed=42_e=30_bs=256_lr=0$00012958211201146612_factors=64_l_w=0$012071398652052001_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00939035879668235	0.00552757028737421	0.015938634713144516	0.005294117647058823	0.01310315864237433	0.007277731452804498	0.05163398692810457
NGCF_seed=42_e=30_bs=256_lr=0$0001119124322144178_factors=64_l_w=0$03953946686102036_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.009373348419287175	0.006270463741051976	0.0181012034443407	0.005294117647058824	0.011947344594403417	0.0070975801079607315	0.05032679738562092
NGCF_seed=42_e=30_bs=256_lr=0$0006926144388093427_factors=64_l_w=0$01381625158402054_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.02580747296924998	0.014942265795206973	0.04231014628073451	0.013137254901960785	0.034921420264557516	0.018543034090161274	0.12287581699346405
